                                                                                                   product_name                                                                                                    | purchase_count | total_spent |     first_purchase      |      last_purchase      
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-------------+-------------------------+-------------------------
 Theragun Elite Ultra-Quiet Handheld Deep Tissue Massage Gun - Bluetooth Enabled Percussion & Personal Massager for Pain Relief in Neck, Back, Leg, Hand, Shoulder and Foot (Black - 5th Gen)                      |              2 |      396.48 | 2024-06-19 01:31:24.245 | 2024-06-19 01:47:19
 IAMS Small & Toy Breed Adult Dry Dog Food for Small Dogs with Real Chicken, 7 lb. Bag                                                                                                                             |             17 |      242.50 | 2023-01-28 16:35:36     | 2025-02-24 05:39:56
 5 Gum Spearmint Rain Sugar Free Chewing Gum Bulk, 15 Stick Box (Pack of 10)                                                                                                                                       |             16 |      236.97 | 2024-05-10 19:23:43     | 2025-12-10 15:27:13
 Nostalgia Popcorn Maker Machine - Professional Cart With 8 Oz Kettle Makes Up to 32 Cups - Vintage Popcorn Machine Movie Theater Style - Red                                                                      |              1 |      217.24 | 2023-12-11 02:07:08     | 2023-12-11 02:07:08
 New and Improved Baby Brezza Formula Pro Advanced Formula Dispenser Machine - Automatically Mix a Warm Formula Bottle Instantly - Easily Make Bottle with Automatic Powder Blending                               |              1 |      216.16 | 2023-09-07 00:10:40     | 2023-09-07 00:10:40
 Real Good Coffee Company - Whole Bean Coffee - Donut Shop Medium Roast Coffee Beans - 2 Pound Bag - 100% Whole Arabica Beans - Grind at Home, Brew How You Like                                                   |              9 |      151.14 | 2023-01-02 09:12:56     | 2023-08-07 20:18:18.845
 All-new Ring Battery Doorbell, Head-to-Toe Video, Live View with Two-Way Talk, and Motion Detection & Alerts (2024 release), Satin Nickel                                                                         |              1 |       97.76 | 2024-11-09 23:45:16     | 2024-11-09 23:45:16
 Ring Stick Up Cam Battery | Weather-Resistant Outdoor Camera, Live View, Color Night Vision, Two-way Talk, Motion alerts, Works with Alexa | White                                                                |              1 |       97.75 | 2024-11-09 23:45:16     | 2024-11-09 23:45:16
 Every Man Jack Eucalyptus Mint Mens Body Wash for All Skin Types - Cleanse, Nourish, and Hydrate Skin with Naturally Derived Ingredients - Paraben Free, Phthalate Free, Dye Free - 33.8oz - 2pack                |              5 |       82.08 | 2024-02-05 15:19:55.6   | 2025-08-31 04:34:00
 Merrell mens MOAB 2 WTPF Hiking Shoe, Beluga, 10.5 US                                                                                                                                                             |              1 |       73.23 | 2023-03-29 02:15:57     | 2023-03-29 02:15:57
 Amazon Basic Care Coated Nicotine Polacrilex Gum 2 mg, Cool Mint Flavor, Stop Smoking Aid, 160 Count                                                                                                              |              2 |       72.52 | 2024-02-13 03:46:19     | 2024-02-28 14:54:41
